Entity,Year,"GDP per capita, PPP (constant 2021 international $)",Urban population (HYDE estimates and UN projections),Rural population (HYDE estimates and UN projections),Population - Scenario: SSP2 - Sex: All -Age: All -Education: Post Secondary, Population - Scenario: SSP2 - Sex: All -Age: All - Education: Upper Secondary,Population - Scenario: SSP2 - Sex: All - Age: All -Education: Lower Secondary,Population - Scenario: SSP2 - Sex: All -Age: All -Education: Primary,Population - Scenario: SSP2 - Sex: All -Age: All -Education: Incomplete Primary,Population - Scenario: SSP2 - Sex: All -Age: All -Education: None,Population - Scenario: SSP2 - Sex: All -Age: All -Education: Under 15,Individuals using the Internet (% of population),Fixed telephone subscriptions,Fixed broadband subscriptions,Mobile cellular subscriptions,Number of Internet users,65+ years_x,25-64 years_x,15-24 years_x,5-14 years_x,0-4 years_x,65+ years_y,25-64 years_y,15-24 years_y,5-14 years_y,0-4 years_y,Death rate,Birth rate,Other renewables excluding bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from bioenergy - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from solar - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from wind - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from hydro - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from nuclear - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from oil - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from gas - TWh (adapted for visualization of chart electricity-prod-source-stacked),Electricity from coal - TWh (adapted for visualization of chart electricity-prod-source-stacked),Access to electricity (% of population),Annual CO₂ emissions
Andorra,1980,,33207.96,2859.0403,,,,,,,,,7026.0,,0.0,,1104.0,8195.0,3085.0,2764.0,1293.0,1195.0,9965.0,3910.0,2998.0,1317.0,3.925,15.39,,,,,,,,,,,
Andorra,1981,,34697.688,2802.3113,,,,,,,,,8944.0,,0.0,,1198.0,8746.0,3098.0,2899.0,1127.0,1302.0,10702.0,3866.0,3127.0,1152.0,4.006,15.381,,,,,,,,,,,
Andorra,1982,,36589.703,2524.2954,,,,,,,,,10385.0,,0.0,,1293.0,9294.0,3170.0,3014.0,1081.0,1411.0,11353.0,3828.0,3234.0,1124.0,4.077,14.893,,,,,,,,,,,
Andorra,1983,,38682.695,2184.3037,,,,,,,,,12000.0,,0.0,,1390.0,9851.0,3306.0,3093.0,1160.0,1526.0,11922.0,3827.0,3310.0,1227.0,4.158,13.664,,,,,,,,,,,
Andorra,1984,,40696.797,2009.205,,,,,,,,,13000.0,,0.0,,1486.0,10438.0,3426.0,3135.0,1205.0,1647.0,12495.0,3831.0,3379.0,1271.0,4.28,12.941,,,,,,,,,,,
Andorra,1985,,42445.91,2154.0896,,,,,,,,,14000.0,,0.0,,1625.0,11060.0,3509.0,3168.0,1166.0,1771.0,13100.0,3812.0,3441.0,1220.0,4.452,12.786,,,,,,,,,,,
Andorra,1986,,44506.3,2010.6986,,,,,,,,,15588.0,,0.0,,1772.0,11704.0,3656.0,3272.0,1135.0,1904.0,13766.0,3868.0,3500.0,1203.0,4.595,12.558,,,,,,,,,,,
Andorra,1987,,46088.254,2366.7444,,,,,,,,,16885.0,,0.0,,1952.0,12283.0,3763.0,3355.0,1137.0,2049.0,14387.0,3966.0,3566.0,1235.0,4.793,12.572,,,,,,,,,,,
Andorra,1988,,47582.65,2851.3528,,,,,,,,,17911.0,,0.0,,2148.0,12900.0,3782.0,3380.0,1111.0,2235.0,15079.0,4014.0,3611.0,1202.0,4.995,12.388,,,,,,,,,,,
Andorra,1989,,49341.566,3106.4321,,,,,,,,,19427.0,,0.0,,2316.0,13386.0,3801.0,3345.0,1137.0,2417.0,15439.0,4014.0,3571.0,1232.0,5.273,12.831,,,,,,,,,,,
Andorra,1990,50036.3,51631.35,2877.6472,,,,,,,,0.0,21502.0,,0.0,0.0,2501.0,13921.0,3895.0,3292.0,1237.0,2596.0,16116.0,4232.0,3503.0,1350.0,5.256,12.34,,,,,,,,,,100.0,406704.0
Andorra,1991,47624.97,53350.152,3320.8481,,,,,,,,0.0,23416.0,,0.0,0.0,2660.0,14912.0,4285.0,3308.0,1371.0,2764.0,17653.0,4774.0,3501.0,1491.0,5.154,12.317,,,,,,,,,,100.0,406704.0
Andorra,1992,45246.53,55592.35,3295.6501,,,,,,,,0.0,25302.0,,770.0,0.0,2828.0,15898.0,4657.0,3298.0,1513.0,2947.0,18872.0,5112.0,3510.0,1612.0,5.046,12.94,,,,,,,,,,100.0,406704.0
Andorra,1993,42605.66,57841.902,3129.0972,,,,,,,,0.0,26760.0,,780.0,0.0,3039.0,16916.0,4724.0,3312.0,1603.0,3212.0,20164.0,5094.0,3555.0,1693.0,5.242,12.694,,,,,,,,,,100.0,410368.0
Andorra,1994,42716.367,59394.176,3282.8232,,,,,,,,0.0,28362.0,,784.0,0.0,3210.0,17574.0,4574.0,3309.0,1609.0,3369.0,20843.0,4909.0,3540.0,1723.0,5.48,12.863,,,,,,,,,,100.0,406704.0
Andorra,1995,44375.023,59802.816,4047.1855,,,,,,,,0.0,29795.0,,2825.0,0.0,3344.0,17618.0,4365.0,3242.0,1593.0,3428.0,20518.0,4660.0,3453.0,1733.0,5.334,12.83,,,,,,,,,,100.0,425024.0
Andorra,1996,46386.09,61047.777,3312.2227,,,,,,,,1.5266011,30964.0,,5488.0,977.1468,3490.0,17790.0,4284.0,3212.0,1576.0,3566.0,20466.0,4464.0,3425.0,1753.0,5.467,12.721,,,,,,,,,,100.0,454336.0
Andorra,1997,50032.35,61141.137,3185.864,,,,,,,,3.0501754,31980.0,,8618.0,1974.104,3651.0,18135.0,4224.0,3206.0,1549.0,3708.0,20706.0,4351.0,3449.0,1764.0,5.707,12.866,,,,,,,,,,100.0,465328.0
Andorra,1998,51092.223,60752.375,3389.626,,,,,,,,6.886209,32946.0,,14117.0,4503.5117,3798.0,18439.0,4135.0,3209.0,1548.0,3807.0,20990.0,4254.0,3468.0,1758.0,5.91,13.027,,,,,,,,,,100.0,490976.0
Andorra,1999,52921.047,60857.117,3512.8833,,,,,,,,7.635686,33607.0,,20600.0,5019.089,3929.0,18674.0,3951.0,3230.0,1594.0,3916.0,21117.0,4103.0,3458.0,1763.0,6.059,13.197,,,,,,,,,,100.0,512960.03
Andorra,2000,54809.145,62122.22,3267.78,,,,,,,,10.5388,34215.0,,23543.0,6924.331,4044.0,18843.0,3707.0,3228.0,1639.0,4032.0,21068.0,3912.0,3460.0,1764.0,6.228,11.54,,,,,,,,,,100.0,523952.0
Andorra,2001,59109.016,63975.723,3365.2788,,,,,,,,,34505.0,,29429.0,,4206.0,19017.0,3563.0,3209.0,1644.0,4181.0,21092.0,3727.0,3471.0,1745.0,6.293,11.405,,,,,,,,,,100.0,523952.0
Andorra,2002,61188.637,66548.39,3500.6077,,,,,,,,11.2605,34922.0,1150.0,32790.0,7491.3643,4391.0,19303.0,3451.0,3228.0,1650.0,4332.0,21326.0,3598.0,3503.0,1720.0,6.486,10.728,,,,,,,,,,100.0,531280.0
Andorra,2003,63656.195,69524.83,3657.1753,,,,,,,,13.5464,35171.0,3600.0,51893.0,9415.705,4532.0,20277.0,3584.0,3343.0,1695.0,4454.0,22468.0,3730.0,3633.0,1771.0,6.368,9.537,,,,,,,,,,100.0,534944.0
Andorra,2004,64353.484,72433.805,3810.1946,,,,,,,,26.838,35040.0,6280.0,58366.0,19951.871,4624.0,21777.0,3918.0,3552.0,1761.0,4496.0,24391.0,4060.0,3858.0,1882.0,6.287,10.253,,,,,,,,,,100.0,560592.0
Andorra,2005,65114.805,74925.73,3941.2756,,,,,,,,37.6058,35444.0,10300.0,64560.0,29120.4,4669.0,22717.0,4108.0,3740.0,1808.0,4518.0,25561.0,4260.0,4070.0,1964.0,6.076,10.502,,,,,,,,,,100.0,575248.0
Andorra,2006,66390.3,76943.58,4047.4197,,,,,,,,48.9368,36507.0,14600.0,69004.0,38958.137,4749.0,23396.0,4183.0,3854.0,1807.0,4620.0,26318.0,4391.0,4250.0,2004.0,5.836,10.498,,,,,,,,,,100.0,545936.0
Andorra,2007,65534.117,78551.02,4131.975,,,,,,,,70.87,37153.0,18500.0,63503.0,58042.53,4923.0,24181.0,4204.0,3927.0,1783.0,4794.0,27207.0,4483.0,4376.0,1993.0,5.865,10.04,,,,,,,,,,100.0,538608.0
Andorra,2008,60691.605,79670.16,4190.844,,,,,,,,70.04,37375.0,20700.0,64202.0,58492.508,5131.0,24764.0,4172.0,3967.0,1774.0,4991.0,27824.0,4457.0,4423.0,1985.0,5.875,10.46,,,,,,,,,,100.0,538608.0
Andorra,2009,57203.973,80241.125,4220.8784,,,,,,,,78.53,37882.0,22900.0,64549.0,65892.95,5306.0,24976.0,4051.0,3990.0,1784.0,5175.0,27873.0,4343.0,4405.0,1966.0,5.979,10.101,,,,,,,,,,100.0,516623.97
Andorra,2010,58285.06,80228.77,4220.229,,,,,,,,81.0,38171.0,24500.0,65495.0,65388.06,5222.0,24242.0,3807.0,3989.0,1822.0,5014.0,26202.0,4116.0,4366.0,1909.0,6.266,10.742,,,,,,,,,,100.0,516623.97
Andorra,2011,60470.465,79565.66,4185.347,,,,,,,,81.0,38401.0,25800.0,65044.0,63018.81,5057.0,23537.0,3659.0,3987.0,1846.0,4764.0,24719.0,3970.0,4351.0,1874.0,5.952,10.469,,,,,,,,,,100.0,490976.0
Andorra,2012,58172.133,78311.62,4119.382,,,,,,,,82.7,38320.0,26900.0,63865.0,63561.562,5019.0,23224.0,3628.0,3941.0,1839.0,4674.0,24364.0,3972.0,4293.0,1856.0,5.996,10.172,,,,,,,,,,100.0,487312.0
Andorra,2013,57332.16,76750.73,4037.2751,,,,,,,,84.4,38572.0,27700.0,63931.0,63485.68,4965.0,22709.0,3590.0,3880.0,1799.0,4583.0,23666.0,3981.0,4213.0,1804.0,5.926,9.03,,,,,,,,,,100.0,476320.0
Andorra,2014,59929.246,75263.94,3959.0662,,,,,,,,86.1,38237.0,28800.0,66241.0,63503.055,4913.0,22278.0,3591.0,3812.0,1728.0,4532.0,23016.0,3983.0,4136.0,1741.0,5.812,8.973,,,,,,,,,,100.0,461664.0
Andorra,2015,62105.152,74115.35,3898.6482,,,,,,,,87.9,38850.0,30700.0,71336.0,63458.527,4841.0,21855.0,3578.0,3749.0,1639.0,4456.0,22409.0,3973.0,4024.0,1653.0,5.673,9.132,,,,,,,,,,100.0,465328.0
Andorra,2016,64402.81,73418.984,3862.0173,,,,,,,,89.7,38694.0,32500.0,76132.0,64760.707,4868.0,21866.0,3611.0,3752.0,1574.0,4500.0,22395.0,4040.0,3997.0,1580.0,5.412,8.432,,,,,,,,,,100.0,468992.0
Andorra,2017,63239.656,73118.77,3846.2256,,,,,,,,91.5675,38411.0,34300.0,80337.0,67559.39,5028.0,22304.0,3713.0,3785.0,1531.0,4689.0,23008.0,4147.0,4032.0,1543.0,5.436,7.831,,,,,,,,,,100.0,468992.0
Andorra,2018,63048.598,73107.375,3845.626,,,,,,,,,39375.0,35700.0,82614.0,,5216.0,22745.0,3786.0,3799.0,1413.0,4905.0,23621.0,4209.0,4031.0,1455.0,5.48,7.159,,,,,,,,,,100.0,498304.0
Andorra,2019,63215.9,73220.43,3851.5728,,,,,,,,90.7187,39657.0,36400.0,87909.0,69391.62,5431.0,23136.0,3881.0,3794.0,1319.0,5135.0,24105.0,4311.0,4007.0,1376.0,5.56,6.993,,,,,,,,,,100.0,490976.0
Andorra,2020,55488.492,73326.83,3857.17,,,,,,,,93.2056,48611.0,37700.0,80380.0,72139.31,5658.0,23310.0,3959.0,3798.0,1272.0,5338.0,24376.0,4386.0,3969.0,1338.0,8.285,6.831,,,,,,,,,,100.0,381056.0
Andorra,2021,59332.203,73414.234,3861.7676,,,,,,,,93.8975,49769.0,39400.0,93792.0,73592.18,5881.0,23478.0,4005.0,3811.0,1187.0,5563.0,24778.0,4468.0,3938.0,1290.0,6.983,6.828,,,,,,,,,,100.0,410368.0
Andorra,2022,63913.383,73524.44,3867.5645,,,,,,,,94.4855,50871.0,40800.0,113521.0,,6112.0,23772.0,4112.0,3792.0,1138.0,5825.0,25274.0,4552.0,3902.0,1261.0,5.948,6.85,,,,,,,,,,100.0,419561.0
Andorra,2023,64631.297,73646.99,3874.011,,,,,,,,,51690.0,41800.0,126214.0,,6381.0,24029.0,4261.0,3688.0,1155.0,6086.0,25588.0,4629.0,3804.0,1262.0,6.076,6.859,,,,,,,,,,,423874.0
Andorra,2024,,68135.0,9514.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,2025,,68233.0,9542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,1970,,174555.0,60944.0,10900.0,25200.0,15300.0,13700.0,22400.0,65400.0,82500.0,,,,,,1943.0,31145.0,16806.0,20741.0,15865.0,2364.0,92113.0,56862.0,30580.0,18143.0,6.953,31.111,,,,,,,,,,,15234912.0
United Arab Emirates,1971,,207506.0,87604.0,,,,,,,,,,,,,2272.0,34637.0,19038.0,23084.0,19101.0,2753.0,110379.0,68919.0,33148.0,21731.0,6.528,29.928,,,,,,,,,,,21166928.0
United Arab Emirates,1972,,248822.0,105899.0,,,,,,,,,,,,,2644.0,38587.0,21211.0,25415.0,22546.0,3224.0,131746.0,78752.0,35425.0,25491.0,6.156,29.061,,,,,,,,,,,23434944.0
United Arab Emirates,1973,,298560.0,115772.0,,,,,,,,,,,,,3078.0,43037.0,23270.0,28280.0,25616.0,3797.0,156431.0,85694.0,38321.0,28900.0,5.843,28.35,,,,,,,,,,,30605392.0
United Arab Emirates,1974,,356461.0,117482.0,,,,,,,,,,,,,3595.0,47950.0,25163.0,31903.0,28039.0,4525.0,184431.0,89471.0,42245.0,31801.0,5.584,27.738,,,,,,,,,,,31301552.0
United Arab Emirates,1975,,421983.0,111571.0,46800.0,77400.0,41400.0,33400.0,54800.0,127300.0,156100.0,,25808.0,,,,4211.0,53243.0,26877.0,35985.0,30017.0,5454.0,215469.0,90175.0,46893.0,34553.0,5.376,27.222,,,,,,,,,,,31045072.0
United Arab Emirates,1976,,495256.0,134832.8,,,,,,,,,36061.0,,,,4663.0,59137.0,31374.0,40671.0,33963.0,6170.0,249272.0,99430.0,52063.0,39148.0,5.053,25.96,,,,,,,,,,,39617012.0
United Arab Emirates,1977,,575336.0,151287.6,,,,,,,,,49830.0,,,,4866.0,66206.0,38468.0,45888.0,40627.0,6522.0,287480.0,116395.0,57434.0,46347.0,4.702,26.931,,,,,,,,,,,38751290.0
United Arab Emirates,1978,,659048.0,164110.4,,,,,,,,,72082.0,,,,5024.0,74908.0,44795.0,51535.0,48006.0,6771.0,332152.0,128043.0,63401.0,54661.0,4.393,27.722,,,,,,,,,,,44753588.0
United Arab Emirates,1979,,741541.0,178152.2,,,,,,,,,96386.0,,,,5141.0,85445.0,50024.0,58049.0,55250.0,6904.0,383490.0,133496.0,70987.0,63253.0,4.115,28.223,,,,,,,,,,,36546456.0
United Arab Emirates,1980,,819368.0,196860.0,131900.0,161800.0,84100.0,66200.0,103700.0,184500.0,291900.0,,120591.0,,,,5227.0,97740.0,54080.0,65777.0,61194.0,6953.0,440132.0,133124.0,80561.0,70935.0,3.873,28.491,,,,,,,,,,,36823400.0
United Arab Emirates,1981,,888506.0,194276.4,,,,,,,,,142591.0,,,,5463.0,109300.0,58740.0,73592.0,66991.0,7154.0,479738.0,131568.0,90009.0,77327.0,3.719,28.777,,,,,,,,,,,36766936.0
United Arab Emirates,1982,,949853.0,199483.8,,,,,,,,,163098.0,,2330.0,,5843.0,120005.0,64325.0,81029.0,73368.0,7533.0,500859.0,131679.0,98388.0,83360.0,3.57,28.935,,,,,,,,,,,36752772.0
United Arab Emirates,1983,,1007605.0,208286.2,,,,,,,,,177841.0,,3564.0,,6238.0,132209.0,69186.0,89081.0,79082.0,7900.0,523621.0,131294.0,107321.0,89391.0,3.439,28.923,,,,,,,,,,,35220452.0
United Arab Emirates,1984,,1065285.0,217160.6,,,,,,,,,188806.0,,4936.0,,6647.0,146074.0,72967.0,98015.0,83786.0,8246.0,548701.0,129160.0,117471.0,94938.0,3.326,28.785,,,,,,,,,,,46155644.0
United Arab Emirates,1985,,1125536.0,223464.0,189800.0,206800.0,112900.0,86400.0,129000.0,198300.0,443800.0,,207052.0,,7924.0,,7098.0,161448.0,75639.0,107952.0,87132.0,8570.0,575978.0,125504.0,129159.0,99461.0,3.226,28.522,0.0,0.0,0.0,0.0,0.0,0.0,0.000997082,12.184003,0.0,,49652536.0
United Arab Emirates,1986,,1189884.0,251044.4,,,,,,,,,220678.0,,11191.0,,7485.0,174321.0,79733.0,119275.0,90632.0,8925.0,604190.0,135615.0,144388.0,102828.0,3.108,28.206,0.0,0.0,0.0,0.0,0.0,0.0,0.001068782,12.813931,0.0,,47030090.0
United Arab Emirates,1987,,1257843.0,275013.8,,,,,,,,,247800.0,,13711.0,,7807.0,184279.0,86602.0,130779.0,94761.0,9339.0,633528.0,161613.0,159877.0,105687.0,2.992,26.966,0.0,0.0,0.0,0.0,0.0,0.0,0.001136001,13.656864,0.0,,47450350.0
United Arab Emirates,1988,,1328613.0,296172.2,,,,,,,,,296143.0,,13823.0,,8108.0,194863.0,94881.0,140984.0,98266.0,9785.0,665939.0,189360.0,171214.0,108411.0,2.9,26.007,0.0,0.0,0.0,0.0,0.0,0.0,0.00123683,14.838763,0.0,,48095596.0
United Arab Emirates,1989,,1401554.0,315159.6,,,,,,,,,352730.0,,24946.0,,8408.0,206386.0,104033.0,150097.0,101118.0,10271.0,702964.0,215886.0,179835.0,110870.0,2.831,25.262,0.0,0.0,0.0,0.0,0.0,0.0,0.001295086,15.610705,0.0,,54186136.0
United Arab Emirates,1990,108057.04,1476359.0,332283.0,264600.0,295300.0,169000.0,125800.0,175700.0,225900.0,575400.0,0.0,396435.0,,33578.0,0.0,8717.0,219177.0,113442.0,158299.0,103315.0,10797.0,746187.0,238404.0,186858.0,113034.0,2.786,24.564,0.0,0.0,0.0,0.0,0.0,0.0,0.001418321,17.079582,0.0,100.0,51703772.0
United Arab Emirates,1991,103098.54,1552761.0,363860.4,,,,,,,,0.0,437503.0,,43008.0,0.0,9043.0,233589.0,122443.0,166179.0,104476.0,11369.0,797038.0,254455.0,193298.0,114746.0,2.76,23.396,0.0,0.0,0.0,0.0,0.0,0.0,0.001440728,17.22056,0.0,100.0,56673424.0
United Arab Emirates,1992,101100.484,1631570.0,393030.8,,,,,,,,0.0,491549.0,,48919.0,0.0,9402.0,249907.0,130436.0,173785.0,104719.0,11967.0,856259.0,262506.0,199882.0,115887.0,2.77,22.687,0.0,0.0,0.0,0.0,0.0,0.0,0.001550519,18.68745,0.0,100.0,57757056.0
United Arab Emirates,1993,97429.164,1714943.0,417637.2,,,,,,,,0.0,553206.0,,70586.0,0.0,9801.0,268247.0,137047.0,180720.0,104503.0,12566.0,923502.0,262425.0,206862.0,116435.0,2.801,21.398,0.0,0.0,0.0,0.0,0.0,0.0,0.001805951,21.728193,0.0,100.0,65565560.0
United Arab Emirates,1994,99402.02,1805652.0,434907.6,,,,,,,,0.0,615124.0,,91488.0,0.0,10233.0,288575.0,142262.0,186958.0,103704.0,13124.0,997571.0,255364.0,214169.0,116240.0,2.85,21.309,0.0,0.0,0.0,0.0,0.0,0.0,0.001971758,23.734028,0.0,100.0,75010504.0
United Arab Emirates,1995,101412.086,1905495.0,443044.0,361700.0,431500.0,257700.02,184000.0,240900.0,247800.0,667500.0,0.10293917,672330.0,,128968.0,2506.225,10697.0,310854.0,146722.0,192382.0,102269.0,13610.0,1076081.0,245163.0,221748.0,115156.0,2.85,18.739,0.0,0.0,0.0,0.0,0.0,0.0,0.001738732,24.98026,0.0,100.0,72463500.0
United Arab Emirates,1996,100563.695,2014787.0,470742.4,,,,,,,,0.37539354,738074.0,,193834.0,9751.113,11518.0,339092.0,158906.0,197848.0,103915.0,14816.0,1148631.0,270617.0,236554.0,115676.0,2.754,17.339,0.0,0.0,0.0,0.0,0.0,0.0,0.002005367,26.569994,0.0,100.0,75412150.0
United Arab Emirates,1997,100310.445,2132739.0,489780.8,,,,,,,,3.2955928,835090.0,,309373.0,92850.39,12774.0,374019.0,179092.0,201829.0,109786.0,17008.0,1218106.0,332805.0,252689.0,119320.0,2.644,16.205,0.0,0.0,0.0,0.0,0.0,0.0,0.002630504,28.461369,0.0,100.0,72919520.0
United Arab Emirates,1998,93224.22,2257776.0,501734.2,,,,,,,,6.908303,915223.0,,493278.0,210042.39,14242.0,412531.0,198874.0,202646.0,116998.0,19696.0,1298019.0,393379.0,259326.0,124730.0,2.459,16.002,0.0,0.0,0.0,0.0,0.0,0.0,0.002731333,33.389267,0.0,100.0,80106300.0
United Arab Emirates,1999,89303.77,2387514.0,508986.6,,,,,,,,14.942699,975178.0,367.0,832267.0,488030.34,15956.0,454836.0,216872.0,201991.0,124629.0,22909.0,1390840.0,446855.0,260129.0,131018.0,2.233,16.378,0.0,0.0,0.0,0.0,0.0,0.0,0.002818718,37.12318,0.0,100.0,77316160.0
United Arab Emirates,2000,92547.23,2519854.0,513637.0,453500.0,598500.0,375300.0,254600.0,315900.0,274300.0,819600.0,23.6253,1020100.0,1970.0,1430000.0,825369.75,17932.0,500428.0,232366.0,201744.0,131625.0,26626.0,1497561.0,490725.0,257407.0,137175.0,2.004,16.314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.94,0.0,100.0,111813100.0
United Arab Emirates,2001,88045.195,2695130.0,545532.75,,,,,,,,26.2718,1052930.0,8370.0,1910000.0,978253.94,20172.0,548960.0,244558.0,204621.0,136636.0,30742.0,1620692.0,521631.0,253515.0,142071.0,1.801,15.978,,,,,,,,,,100.0,101417960.0
United Arab Emirates,2002,84871.6,2870812.8,577021.5,,,,,,,,28.3165,1093650.0,16600.0,2430000.0,1120434.6,22672.0,601079.0,252011.0,211566.0,139879.0,35146.0,1761526.0,536210.0,251021.0,145723.0,1.646,15.779,,,,,,,,,,100.0,84649070.0
United Arab Emirates,2003,87150.88,3046902.5,608103.25,,,,,,,,29.478,1135760.0,30300.0,2970000.0,1235852.9,25468.0,656386.0,254411.0,221600.0,142610.0,39807.0,1918050.0,532819.0,252333.0,148976.0,1.546,15.647,,,,,,,,,,100.0,106443120.0
United Arab Emirates,2004,90388.984,3223399.2,638778.06,,,,,,,,30.1313,1187730.0,56100.0,3680000.0,1334504.9,28662.0,714194.0,251905.0,234134.0,145137.0,44821.0,2086968.0,512835.0,258224.0,152097.0,1.49,15.115,,,,,,,,,,100.0,111702584.0
United Arab Emirates,2005,89986.13,3400303.0,669045.9,704400.0,1020700.0,672700.0,425900.0,478500.0,365200.0,843300.0,40.0,1236860.0,129000.0,4530000.0,1865918.4,32382.0,775549.0,244005.0,248025.0,147163.0,50386.0,2264372.0,482526.0,265623.0,154749.0,1.471,14.343,,,,,,,,,,100.0,114399416.0
United Arab Emirates,2006,92044.516,3980252.8,777564.5,,,,,,,,52.0,1309680.0,241000.0,5520000.0,2604735.0,35893.0,857977.0,246087.0,268094.0,152149.0,55547.0,2479397.0,472450.0,281290.0,160218.0,1.444,12.292,,,,,,,,,,100.0,121705080.0
United Arab Emirates,2007,84581.87,4561554.5,884730.7,,,,,,,,61.0,1385520.0,380000.0,7730000.0,3431029.8,36890.0,990797.0,277351.0,303323.0,163891.0,58771.0,2793711.0,511259.0,316142.0,172495.0,1.34,11.127,,,,,,,,,,100.0,133124510.0
United Arab Emirates,2008,77891.99,5144209.0,990544.4,,,,,,,,63.0,1595990.0,558000.0,9360000.0,3970681.5,36688.0,1140279.0,320536.0,342867.0,177086.0,61312.0,3118768.0,562410.0,356343.0,186371.0,1.205,9.999,,,,,,,,,,100.0,153683520.0
United Arab Emirates,2009,69358.0,5728216.0,1095005.8,,,,,,,,64.0,1580150.0,690000.0,10700000.0,4292520.5,38763.0,1243949.0,351534.0,367998.0,186129.0,60018.0,3296543.0,585032.0,381276.0,195809.0,1.165,11.083,,,,,,,,,,100.0,168013250.0
